LR Clip Loss
0.005 0.8 78.9698257446289
0.005 1 79.25849151611328
0.005 2 81.40312194824219
0.005 4 85.96753692626953
0.005 5 88.18733978271484
0.005 8 94.39751434326172
0.005 10 97.43024444580078
0.005 20 108.32941436767578
0.005 40 117.1893310546875
0.005 50 118.43048858642578
0.005 80 121.5509262084961
0.008 0.0001 76.98186492919922
0.008 0.0002 76.98184204101562
0.008 0.0004 76.98184204101562
0.008 0.0005 76.98187255859375
0.008 0.0008 76.98190307617188
0.008 0.001 76.98193359375
0.008 0.002 76.98185729980469
0.008 0.004 76.98185729980469
0.008 0.005 76.98193359375
0.008 0.008 76.98190307617188
0.008 0.01 76.98200225830078
0.008 0.02 76.98188018798828
0.008 0.04 76.98190307617188
0.008 0.05 76.98186492919922
0.008 0.08 76.98213958740234
0.008 0.1 76.98198699951172
0.008 0.2 76.98241424560547
0.008 0.4 76.98208618164062
0.008 0.5 76.9835205078125
0.008 0.8 76.98420715332031
0.008 1 76.98685455322266
0.008 2 77.0642318725586
0.008 4 77.83792114257812
0.008 5 78.47073364257812
0.008 8 81.43663787841797
0.008 10 83.74163055419922
0.008 20 93.94416046142578
0.008 40 105.53860473632812
0.008 50 109.18270111083984
0.008 80 114.73429107666016
0.01 0.0001 76.98184204101562
0.01 0.0002 76.98184204101562
0.01 0.0004 76.98184967041016
0.01 0.0005 76.98191833496094
0.01 0.0008 76.9819107055664
0.01 0.001 76.98184204101562
0.01 0.002 76.98194885253906
0.01 0.004 76.98185729980469
0.01 0.005 76.98191833496094
0.01 0.008 76.9819107055664
0.01 0.01 76.98184967041016
0.01 0.02 76.98189544677734
0.01 0.04 76.98191833496094
0.01 0.05 76.98190307617188
0.01 0.08 76.98209381103516
0.01 0.1 76.9819107055664
0.01 0.2 76.9821548461914
0.01 0.4 76.9832992553711
0.01 0.5 76.9829330444336
0.01 0.8 76.98393249511719
0.01 1 76.98664855957031
0.01 2 76.99506378173828
0.01 4 77.10940551757812
0.01 5 77.2998275756836
0.01 8 78.66227722167969
0.01 10 80.08312225341797
0.01 20 88.60369110107422
0.01 40 101.42573547363281
0.01 50 104.2148208618164
0.01 80 110.59354400634766
0.02 0.0001 76.98199462890625
0.02 0.0002 76.98194885253906
0.02 0.0004 76.98239135742188
0.02 0.0005 76.98423767089844
0.02 0.0008 76.98222351074219
0.02 0.001 76.98191833496094
0.02 0.002 76.9823226928711
0.02 0.004 76.98188018798828
0.02 0.005 76.98198699951172
0.02 0.008 76.98224639892578
0.02 0.01 76.98194122314453
0.02 0.02 76.98197174072266
0.02 0.04 76.98198699951172
0.02 0.05 76.98194885253906
0.02 0.08 76.9819564819336
0.02 0.1 76.98265838623047
0.02 0.2 76.98236083984375
0.02 0.4 76.98505401611328
0.02 0.5 76.98521423339844
0.02 0.8 76.98683166503906
0.02 1 76.99292755126953
0.02 2 76.99305725097656
0.02 4 76.99818420410156
0.02 5 77.02156066894531
0.02 8 77.02571105957031
0.02 10 77.06041717529297
0.02 20 78.79319763183594
0.02 40 84.86724853515625
0.02 50 89.04154205322266
0.02 80 98.80355072021484
0.04 0.0001 76.98735046386719
0.04 0.0002 76.98265075683594
0.04 0.0004 76.98716735839844
0.04 0.0005 76.9821548461914
0.04 0.0008 76.98198699951172
0.04 0.001 76.98326110839844
