LR Clip Loss
0.08 80 108.54898834228516
0.1 0.0001 3701.51416015625
0.1 0.0002 3688.66748046875
0.1 0.0004 3663.2470703125
0.1 0.0005 3650.6171875
0.1 0.0008 3612.56640625
0.1 0.001 3587.500244140625
0.1 0.002 3462.22802734375
0.1 0.004 3219.92578125
0.1 0.005 3102.13134765625
0.1 0.008 2762.75439453125
0.1 0.01 2544.89404296875
0.1 0.02 1606.7298583984375
0.1 0.04 416.35699462890625
0.1 0.05 162.8935089111328
0.1 0.08 97.69400024414062
0.1 0.1 87.64769744873047
0.1 0.2 84.70857238769531
0.1 0.4 84.70890045166016
0.1 0.5 84.7099380493164
0.1 0.8 84.7112808227539
0.1 1 84.71299743652344
0.1 2 84.73027038574219
0.1 4 84.73808288574219
0.1 5 84.92292785644531
0.1 8 84.96017456054688
0.1 10 84.77250671386719
0.1 20 86.54656982421875
0.1 40 91.8084945678711
0.1 50 91.57451629638672
0.1 80 125.26590728759766
0.2 0.0001 3688.756103515625
0.2 0.0002 3663.26416015625
0.2 0.0004 3612.91943359375
0.2 0.0005 3587.5927734375
0.2 0.0008 3512.4111328125
0.2 0.001 3462.750732421875
0.2 0.002 3219.5869140625
0.2 0.004 2761.349853515625
0.2 0.005 2547.478515625
0.2 0.008 1956.687255859375
0.2 0.01 1610.7861328125
0.2 0.02 414.62939453125
0.2 0.04 97.84149932861328
0.2 0.05 87.48350524902344
0.2 0.08 84.70850372314453
0.2 0.1 84.70869445800781
0.2 0.2 84.70964813232422
0.2 0.4 84.71009826660156
0.2 0.5 84.71243286132812
0.2 0.8 84.71380615234375
0.2 1 84.72703552246094
0.2 2 84.7762451171875
0.2 4 84.83659362792969
0.2 5 84.8635025024414
0.2 8 89.00740051269531
0.2 10 85.94544219970703
0.2 20 91.73963165283203
0.2 40 102.0920639038086
0.2 50 106.76419067382812
0.2 80 187.62942504882812
0.4 0.0001 3663.16455078125
0.4 0.0002 3612.529052734375
0.4 0.0004 3511.933349609375
0.4 0.0005 3462.360107421875
0.4 0.0008 3315.94775390625
0.4 0.001 3219.97607421875
0.4 0.002 2763.674560546875
0.4 0.004 1958.454345703125
0.4 0.005 1608.701171875
0.4 0.008 784.8176879882812
0.4 0.01 418.45294189453125
0.4 0.02 97.9688720703125
0.4 0.04 84.70894622802734
0.4 0.05 84.70848083496094
0.4 0.08 84.71036529541016
0.4 0.1 84.71166229248047
0.4 0.2 84.73165893554688
0.4 0.4 84.72370910644531
0.4 0.5 84.72970581054688
0.4 0.8 84.8718490600586
0.4 1 84.76878356933594
0.4 2 86.18704986572266
0.4 4 92.00618743896484
0.4 5 88.50715637207031
0.4 8 94.77704620361328
0.4 10 99.27384185791016
0.4 20 189.03880310058594
0.4 40 209.85968017578125
0.4 50 169.7521514892578
0.4 80 2858.839599609375
0.5 0.0001 3650.531005859375
0.5 0.0002 3587.403076171875
0.5 0.0004 3462.163818359375
0.5 0.0005 3401.559326171875
0.5 0.0008 3220.21630859375
0.5 0.001 3102.459228515625
0.5 0.002 2545.115966796875
0.5 0.004 1608.267578125
0.5 0.005 1225.390380859375
0.5 0.008 416.7315368652344
0.5 0.01 163.00390625
0.5 0.02 87.56107330322266
0.5 0.04 84.70862579345703
0.5 0.05 84.70934295654297
0.5 0.08 84.71165466308594
0.5 0.1 84.7120590209961
0.5 0.2 84.73941040039062
0.5 0.4 84.7689437866211
0.5 0.5 84.72380828857422
0.5 0.8 84.75508880615234
0.5 1 84.96106719970703
0.5 2 86.53978729248047
0.5 4 87.2119369506836
0.5 5 90.25643157958984
0.5 8 90.13558197021484
0.5 10 123.3542251586914
0.5 20 283.0736999511719
0.5 40 792.413330078125
0.5 50 466.24920654296875
0.5 80 2343.0009765625
0.8 0.0001 3612.516845703125
0.8 0.0002 3511.6484375
0.8 0.0004 3314.841064453125
0.8 0.0005 3219.544677734375
0.8 0.0008 2941.6728515625
0.8 0.001 2764.1376953125
0.8 0.002 1955.178955078125
0.8 0.004 779.19921875
0.8 0.005 419.4932861328125
0.8 0.008 111.14518737792969
0.8 0.01 97.52046966552734
0.8 0.02 84.70857238769531
0.8 0.04 84.70884704589844
0.8 0.05 84.7110595703125
0.8 0.08 84.7088394165039
0.8 0.1 84.71004486083984
0.8 0.2 84.7440414428711
0.8 0.4 84.85134887695312
0.8 0.5 85.04222869873047
0.8 0.8 84.77127838134766
0.8 1 85.41041564941406
0.8 2 86.97814178466797
0.8 4 90.44792175292969
0.8 5 91.29512023925781
0.8 8 169.53842163085938
0.8 10 120.28739166259766
0.8 20 129.38311767578125
0.8 40 1984.6361083984375
0.8 50 1701.736083984375
0.8 80 7257.2919921875
1 0.0001 3586.99365234375
1 0.0002 3462.3330078125
1 0.0004 3221.250732421875
1 0.0005 3102.54541015625
1 0.0008 2763.213623046875
1 0.001 2547.927978515625
1 0.002 1608.742431640625
1 0.004 414.3062744140625
1 0.005 163.0450897216797
1 0.008 97.71257781982422
1 0.01 87.56869506835938
1 0.02 84.70935821533203
1 0.04 84.71097564697266
1 0.05 84.71126556396484
1 0.08 84.70952606201172
1 0.1 84.71320343017578
1 0.2 84.76676177978516
1 0.4 85.12748718261719
1 0.5 84.78937530517578
1 0.8 84.77877044677734
1 1 85.10474395751953
1 2 96.91716766357422
1 4 130.97866821289062
1 5 96.0179214477539
1 8 181.9381103515625
1 10 215.14720153808594
1 20 581.3561401367188
1 40 5059.7529296875
1 50 4355.94091796875
1 80 730.5223388671875
2 0.0001 3463.2080078125
2 0.0002 3218.807861328125
2 0.0004 2759.843017578125
2 0.0005 2547.50537109375
2 0.0008 1952.6807861328125
2 0.001 1609.1383056640625
2 0.002 419.5303955078125
2 0.004 97.69718170166016
2 0.005 87.59041595458984
2 0.008 84.70877075195312
2 0.01 84.70958709716797
2 0.02 84.71287536621094
2 0.04 84.7138671875
2 0.05 84.74111938476562
2 0.08 84.73782348632812
2 0.1 84.724609375
2 0.2 84.73245239257812
2 0.4 86.69251251220703
2 0.5 85.14021301269531
2 0.8 87.6638412475586
2 1 91.8584976196289
2 2 89.89423370361328
2 4 200.57009887695312
2 5 109.26698303222656
2 8 245.63711547851562
2 10 1244.8648681640625
2 20 3058.95263671875
2 40 13458.7060546875
2 50 45768.1171875
2 80 10538.0849609375
4 0.0001 3219.330322265625
4 0.0002 2760.070556640625
4 0.0004 1960.4193115234375
4 0.0005 1611.5526123046875
4 0.0008 779.7167358398438
4 0.001 416.365478515625
4 0.002 97.65509033203125
4 0.004 84.7088394165039
4 0.005 84.70915222167969
4 0.008 84.71067810058594
4 0.01 84.7126235961914
4 0.02 84.7160873413086
4 0.04 84.71365356445312
4 0.05 84.719970703125
4 0.08 84.98592376708984
4 0.1 85.04674530029297
4 0.2 84.85527801513672
4 0.4 88.10962677001953
4 0.5 92.27672576904297
4 0.8 95.3746337890625
